date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,carm-elo1_pre,carm-elo2_pre,carm-elo_prob1,carm-elo_prob2,carm-elo1_post,carm-elo2_post,raptor1_pre,raptor2_pre,raptor_prob1,raptor_prob2,score1,score2,quality,importance,total_rating
1947-01-04,1947,0,,WSC,CLR,1430.0768,1297.225,0.7925561589697929,0.20744384103020708,1434.575,1292.7268,,,,,,,,,,,78,64,3,"",""
1947-01-05,1947,0,,STB,NYK,1368.0355,1343.4509,0.6719827797250916,0.3280172202749084,1360.8228,1350.6637,,,,,,,,,,,57,59,2,"",""
1947-01-06,1947,0,,BOS,CLR,1204.3622,1292.7268,0.5167384294916342,0.4832615705083658,1192.8752,1304.2137,,,,,,,,,,,53,64,0,"",""
1947-01-06,1947,0,,PIT,WSC,1217.9967,1434.575,0.33825535748841545,0.6617446425115845,1210.0378,1442.5338,,,,,,,,,,,49,63,0,"",""
1947-01-06,1947,0,,TRH,DTF,1243.7212,1273.708,0.5994150421846518,0.4005849578153482,1253.9355,1263.4937,,,,,,,,,,,76,61,0,"",""
1947-01-08,1947,0,,DTF,CHS,1263.4937,1335.4089,0.5403294737617848,0.45967052623821525,1257.3132,1341.5894,,,,,,,,,,,80,83,0,"",""
1947-01-08,1947,0,,NYK,TRH,1350.6637,1253.9355,0.7562923306736967,0.24370766932630328,1328.6687,1275.9305,,,,,,,,,,,63,76,0,"",""
1947-01-08,1947,0,,PIT,PHW,1210.0378,1317.6265,0.48908071919695656,0.5109192808030434,1216.5398,1311.1245,,,,,,,,,,,67,63,0,"",""
1947-01-08,1947,0,,WSC,PRO,1442.5338,1268.3883,0.8289364479220439,0.1710635520779561,1445.0814,1265.8407,,,,,,,,,,,77,69,2,"",""
1947-01-09,1947,0,,PHW,TRH,1311.1245,1275.9305,0.6853005020943027,0.3146994979056973,1320.103,1266.952,,,,,,,,,,,74,55,0,"",""
1947-01-09,1947,0,,PRO,CLR,1265.8407,1304.2137,0.587769820679372,0.412230179320628,1280.0374,1290.0171,,,,,,,,,,,91,68,0,"",""
1947-01-09,1947,0,,STB,CHS,1360.8228,1341.5894,0.6651572863786656,0.33484271362133444,1364.2407,1338.1714,,,,,,,,,,,84,81,2,"",""
1947-01-10,1947,0,,BOS,NYK,1192.8752,1328.6687,0.4486704801862655,0.5513295198137345,1200.0544,1321.4895,,,,,,,,,,,66,62,0,"",""
1947-01-11,1947,0,,DTF,PHW,1257.3132,1320.103,0.5533459731213305,0.4466540268786695,1261.5048,1315.9115,,,,,,,,,,,58,56,0,"",""
1947-01-11,1947,0,,PRO,BOS,1280.0374,1200.0544,0.7380901153873418,0.2619098846126582,1273.0671,1207.0247,,,,,,,,,,,72,73,0,"",""
1947-01-11,1947,0,,WSC,TRH,1445.0814,1266.952,0.8321639024104199,0.16783609758958007,1448.7782,1263.2552,,,,,,,,,,,81,66,2,"",""
1947-01-12,1947,0,,CHS,PHW,1338.1714,1315.9115,0.6690263226505645,0.3309736773494355,1341.5424,1312.5405,,,,,,,,,,,75,72,1,"",""
1947-01-12,1947,0,,STB,PIT,1364.2407,1216.5398,0.806258716386445,0.19374128361355503,1368.2032,1212.5773,,,,,,,,,,,72,59,0,"",""
1947-01-13,1947,0,,PIT,NYK,1212.5773,1321.4895,0.48717712553925846,0.5128228744607415,1207.1686,1326.8982,,,,,,,,,,,50,53,0,"",""
1947-01-14,1947,0,,CLR,PRO,1290.0171,1273.0671,0.6622234191327544,0.3377765808672456,1280.7762,1282.308,,,,,,,,,,,74,78,0,"",""
1947-01-14,1947,0,,TRH,PHW,1263.2552,1312.5405,0.5724703449929064,0.4275296550070936,1237.1625,1338.6333,,,,,,,,,,,74,104,0,"",""
1947-01-15,1947,0,,DTF,CHS,1261.5048,1341.5424,0.5286966317178655,0.4713033682821345,1270.5358,1332.5114,,,,,,,,,,,68,59,0,"",""
1947-01-15,1947,0,,NYK,WSC,1326.8982,1448.7782,0.4685537092239879,0.531446290776012,1322.4481,1453.2283,,,,,,,,,,,63,65,6,"",""
1947-01-15,1947,0,,PIT,PRO,1207.1686,1282.308,0.5357163436020405,0.46428365639795954,1217.7629,1271.7136,,,,,,,,,,,65,53,0,"",""
1947-01-16,1947,0,,BOS,WSC,1207.0247,1453.2283,0.3011946344191299,0.6988053655808701,1222.4307,1437.8223,,,,,,,,,,,47,38,0,"",""
